Year,SDG Series,Value
2016,Coverage of protected areas in relation to marine areas-Index,63.19
2017,Coverage of protected areas in relation to marine areas-Index,63.74
2018,Coverage of protected areas in relation to marine areas-Index,63.92
2019,Coverage of protected areas in relation to marine areas-Index,63.44
2020,Coverage of protected areas in relation to marine areas-Index,63.32
2021,Coverage of protected areas in relation to marine areas-Index,63.26
2016,Coverage of protected areas in relation to marine areas-Food provision,50.11
2017,Coverage of protected areas in relation to marine areas-Food provision,49.81
2018,Coverage of protected areas in relation to marine areas-Food provision,49.27
2019,Coverage of protected areas in relation to marine areas-Food provision,48.61
2020,Coverage of protected areas in relation to marine areas-Food provision,47.71
2021,Coverage of protected areas in relation to marine areas-Food provision,47.22
2016,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),50.11
2017,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),49.82
2018,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),49.28
2019,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),48.61
2020,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),47.71
2021,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),47.22
2016,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal),0.01
2017,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal),0.01
2018,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal),0.01
2019,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal),0.01
2020,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal),0.01
2021,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal),0.01
2016,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,72.01
2017,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,71.12
2018,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,69.9
2019,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,69.05
2020,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,68.33
2021,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,67.95
2016,Coverage of protected areas in relation to marine areas-Natural products,55.93
2017,Coverage of protected areas in relation to marine areas-Natural products,62.57
2018,Coverage of protected areas in relation to marine areas-Natural products,66.79
2019,Coverage of protected areas in relation to marine areas-Natural products,68.11
2020,Coverage of protected areas in relation to marine areas-Natural products,68.48
2021,Coverage of protected areas in relation to marine areas-Natural products,69.01
2016,Coverage of protected areas in relation to marine areas-Carbon storage,99.09
2017,Coverage of protected areas in relation to marine areas-Carbon storage,99.09
2018,Coverage of protected areas in relation to marine areas-Carbon storage,99.09
2019,Coverage of protected areas in relation to marine areas-Carbon storage,99.09
2020,Coverage of protected areas in relation to marine areas-Carbon storage,99.09
2021,Coverage of protected areas in relation to marine areas-Carbon storage,99.09
2016,Coverage of protected areas in relation to marine areas-Coastal protection,98.0
2017,Coverage of protected areas in relation to marine areas-Coastal protection,98.0
2018,Coverage of protected areas in relation to marine areas-Coastal protection,98.0
2019,Coverage of protected areas in relation to marine areas-Coastal protection,98.0
2020,Coverage of protected areas in relation to marine areas-Coastal protection,98.0
2021,Coverage of protected areas in relation to marine areas-Coastal protection,98.0
2016,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),93.84
