Year,Observation status,Unit multiplier,SDG Series,Reference area,Sex,Degree of urbanisation,Unit of measure,Value
2006,Normal value,Units,Proportion of individuals using the internet,,,,Percent,1.5
2013,Normal value,Units,Proportion of individuals using the internet,,,,Percent,56.6
2017,Normal value,Units,Proportion of individuals using the internet,,,,Percent,98.9
2006,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,0.1
2013,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,42.1
2017,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,97.9
2006,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,3.9
2013,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,59.3
2017,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,98.4
2006,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,1.6
2013,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,58.7
2017,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,98.4
2006,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,1.5
2013,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,54.7
2017,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,98.0
2006,Normal value,Units,Proportion of individuals using the internet,Western,,,Percent,0.6
2013,Normal value,Units,Proportion of individuals using the internet,Western,,,Percent,84.8
2017,Normal value,Units,Proportion of individuals using the internet,Western,,,Percent,97.4
2006,Normal value,Units,Proportion of individuals using the internet,Central,,,Percent,1.1
2013,Normal value,Units,Proportion of individuals using the internet,Central,,,Percent,46.0
2017,Normal value,Units,Proportion of individuals using the internet,Central,,,Percent,98.2
2006,Normal value,Units,Proportion of individuals using the internet,Greater Accra,,,Percent,6.9
2013,Normal value,Units,Proportion of individuals using the internet,Greater Accra,,,Percent,73.0
2017,Normal value,Units,Proportion of individuals using the internet,Greater Accra,,,Percent,98.6
2006,Normal value,Units,Proportion of individuals using the internet,Volta,,,Percent,0.3
2013,Normal value,Units,Proportion of individuals using the internet,Volta,,,Percent,43.3
2017,Normal value,Units,Proportion of individuals using the internet,Volta,,,Percent,97.5
2006,Normal value,Units,Proportion of individuals using the internet,Eastern,,,Percent,0.6
2013,Normal value,Units,Proportion of individuals using the internet,Eastern,,,Percent,33.9
2017,Normal value,Units,Proportion of individuals using the internet,Eastern,,,Percent,98.1
2006,Normal value,Units,Proportion of individuals using the internet,Ashanti,,,Percent,0.8
2013,Normal value,Units,Proportion of individuals using the internet,Ashanti,,,Percent,53.5
2017,Normal value,Units,Proportion of individuals using the internet,Ashanti,,,Percent,99.0
2006,Normal value,Units,Proportion of individuals using the internet,Brong Ahafo,,,Percent,0.8
2013,Normal value,Units,Proportion of individuals using the internet,Brong Ahafo,,,Percent,39.3
2017,Normal value,Units,Proportion of individuals using the internet,Brong Ahafo,,,Percent,98.3
2006,Normal value,Units,Proportion of individuals using the internet,Northern,,,Percent,0.9
2013,Normal value,Units,Proportion of individuals using the internet,Northern,,,Percent,62.1
2017,Normal value,Units,Proportion of individuals using the internet,Northern,,,Percent,97.1
2006,Normal value,Units,Proportion of individuals using the internet,Upper East,,,Percent,0.1
2013,Normal value,Units,Proportion of individuals using the internet,Upper East,,,Percent,21.9
2017,Normal value,Units,Proportion of individuals using the internet,Upper East,,,Percent,98.2
2006,Normal value,Units,Proportion of individuals using the internet,Upper West,,,Percent,0.0
2013,Normal value,Units,Proportion of individuals using the internet,Upper West,,,Percent,73.1
2017,Normal value,Units,Proportion of individuals using the internet,Upper West,,,Percent,98.5
