Year,SDG Series,Reference area,Degree of urbanisation,Composite breakdown,Value
2003,Proportion of births attended by skilled health personnel [3.1.2],,,,47.1
2008,Proportion of births attended by skilled health personnel [3.1.2],,,,58.7
2014,Proportion of births attended by skilled health personnel [3.1.2],,,,73.7
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,79.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Upper West,,,63.7
2017,Proportion of births attended by skilled health personnel [3.1.2],Upper West,,,83.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Upper East,,,84.6
2017,Proportion of births attended by skilled health personnel [3.1.2],Upper East,,,94.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Northern,,,36.4
2017,Proportion of births attended by skilled health personnel [3.1.2],Northern,,,60.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Brong Ahafo,,,79.0
2017,Proportion of births attended by skilled health personnel [3.1.2],Brong Ahafo,,,86.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Ashanti,,,86.3
2017,Proportion of births attended by skilled health personnel [3.1.2],Ashanti,,,82.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Eastern,,,67.2
2017,Proportion of births attended by skilled health personnel [3.1.2],Eastern,,,79.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Volta,,,66.3
2017,Proportion of births attended by skilled health personnel [3.1.2],Volta,,,69.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Greater Accra,,,92.1
2017,Proportion of births attended by skilled health personnel [3.1.2],Greater Accra,,,93.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Central,,,72.0
2017,Proportion of births attended by skilled health personnel [3.1.2],Central,,,73.0
2014,Proportion of births attended by skilled health personnel [3.1.2],Western,,,75.3
2017,Proportion of births attended by skilled health personnel [3.1.2],Western,,,80.0
2017,Homes deliveries by region and locality type,,Urban,,11.0
2017,Homes deliveries by region and locality type,Northern,Urban,,18.0
2017,Homes deliveries by region and locality type,Volta,Urban,,22.0
2017,Homes deliveries by region and locality type,Eastern,Urban,,9.0
2017,Homes deliveries by region and locality type,Central,Urban,,16.0
2017,Homes deliveries by region and locality type,Western,Urban,,11.0
2017,Homes deliveries by region and locality type,Brong Ahafo,Urban,,9.0
2017,Homes deliveries by region and locality type,Ashanti,Urban,,6.0
2017,Homes deliveries by region and locality type,Upper West,Urban,,6.0
2017,Homes deliveries by region and locality type,Greater Accra,Urban,,8.0
2017,Homes deliveries by region and locality type,Upper East,Urban,,4.0
2017,Homes deliveries by region and locality type,,Rural,,29.0
2017,Homes deliveries by region and locality type,Northern,Rural,,49.0
2017,Homes deliveries by region and locality type,Volta,Rural,,45.0
2017,Homes deliveries by region and locality type,Eastern,Rural,,32.0
2017,Homes deliveries by region and locality type,Central,Rural,,31.0
2017,Homes deliveries by region and locality type,Western,Rural,,30.0
2017,Homes deliveries by region and locality type,Brong Ahafo,Rural,,28.0
2017,Homes deliveries by region and locality type,Ashanti,Rural,,27.0
2017,Homes deliveries by region and locality type,Upper West,Rural,,22.0
2017,Homes deliveries by region and locality type,Greater Accra,Rural,,14.0
2017,Homes deliveries by region and locality type,Upper East,Rural,,10.0
2017,Type of care received during Health facility delivery,,,Skilled Care,91.0
2017,Type of care received during Health facility delivery,,,Unskilled Care,2.0
2017,Type of care received during Health facility delivery,,,No Care,7.0
2017,Type of care received during Home delivery,,,Skilled Care,54.0
2017,Type of care received during Home delivery,,,Unskilled Care,21.0
2017,Type of care received during Home delivery,,,No Care,25.0
