Year,Observation status,Unit multiplier,SDG Series,Reference area,Age,Degree of urbanisation,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,ICT,Percent,,15.5
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,HOUSING,Percent,,62.1
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,SANITATION,Percent,,83.4
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,WATER,Percent,,52.9
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,PROTECTION,Percent,,63.5
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,DEVELOPMENT,Percent,,58.1
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,HEALTH,Percent,,62.7
2017,Normal value,Units,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,under 18 years old,,NUTRITION,Percent,,38.7
2017,Normal value,Units,Monetary Poverty Rate,,,Rural,,Percent,,39.6
2017,Normal value,Units,Monetary Poverty Rate,,,Urban,,Percent,,7.4
2017,Normal value,Units,Monetary Poverty Rate,Coastal Zone,,,,Percent,,9.8
2017,Normal value,Units,Monetary Poverty Rate,Forest Zone,,,,Percent,,15.4
2017,Normal value,Units,Monetary Poverty Rate,Savannah Zone,,,,Percent,,55.9
2017,Normal value,Units,Monetary Poverty Rate,,,,,Percent,,23.4
2017,Normal value,Units,Proportion of population living in multidimensional poverty [1.2.2],,,Rural,,Percent,Multidimensional Poverty Index (MPI),64.6
2017,Normal value,Units,Proportion of population living in multidimensional poverty [1.2.2],,,Urban,,Percent,Multidimensional Poverty Index (MPI),26.9
2017,Normal value,Units,Proportion of population living in multidimensional poverty [1.2.2],Coastal Zone,,,,Percent,Multidimensional Poverty Index (MPI),32.1
2017,Normal value,Units,Proportion of population living in multidimensional poverty [1.2.2],Forest Zone,,,,Percent,Multidimensional Poverty Index (MPI),41.3
2017,Normal value,Units,Proportion of population living in multidimensional poverty [1.2.2],Savannah Zone,,,,Percent,Multidimensional Poverty Index (MPI),70.9
2017,Normal value,Units,Proportion of population living in multidimensional poverty [1.2.2],,,,,Percent,Multidimensional Poverty Index (MPI),45.6
