Year,Observation status,Unit multiplier,SDG Series,Reference area,Composite breakdown,Unit of measure,Value
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",,Discriminated against,Percent,95.6
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",,Not Discriminated against,Percent,4.4
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Western,Discriminated against,Percent,95.0
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Western,Not Discriminated against,Percent,5.0
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Central,Discriminated against,Percent,97.2
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Central,Not Discriminated against,Percent,2.8
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Greater Accra,Discriminated against,Percent,97.4
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Greater Accra,Not Discriminated against,Percent,2.6
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Volta,Discriminated against,Percent,97.9
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Volta,Not Discriminated against,Percent,2.1
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Eastern,Discriminated against,Percent,95.5
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Eastern,Not Discriminated against,Percent,4.5
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Ashanti,Discriminated against,Percent,93.3
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Ashanti,Not Discriminated against,Percent,6.7
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Brong Ahafo,Discriminated against,Percent,96.2
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Brong Ahafo,Not Discriminated against,Percent,3.8
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Northern,Discriminated against,Percent,95.1
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Northern,Not Discriminated against,Percent,4.9
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Upper East,Discriminated against,Percent,95.7
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Upper East,Not Discriminated against,Percent,4.3
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Upper West,Discriminated against,Percent,95.0
2017,Normal value,Units,"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",Upper West,Not Discriminated against,Percent,5.0
