Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2021,Normal value,Units,Covid 19 Monitoring Dashboard,,Percent,,103019
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Western,Percent,1,7535
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Central,Percent,2,4859
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Greater Accra,Percent,3,70673
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Volta,Percent,4,5389
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Eastern,Percent,5,6595
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Ashanti,Percent,6,20717
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Western North,Percent,7,1006
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Ahafo,Percent,8,1058
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Bono,Percent,9,2122
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Bono East,Percent,10,2555
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Oti,Percent,11,848
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Northern,Percent,12,1761
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Savannah,Percent,13,262
2021,Normal value,Units,Covid 19 Monitoring Dashboard,North East,Percent,14,283
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Upper East,Percent,15,1484
2021,Normal value,Units,Covid 19 Monitoring Dashboard,Upper West,Percent,16,743
