Year,SDG Series,Reference area,Value
1990,1. Survey-based Maternal mortality ratio [3.1.1],,760.0
2007,1. Survey-based Maternal mortality ratio [3.1.1],,580.0
2017,1. Survey-based Maternal mortality ratio [3.1.1],,310.0
2010,3. Census-based Maternal mortality ratio [3.1.1],,485.0
2021,3. Census-based Maternal mortality ratio [3.1.1],,301.0
2007,2. Institutional maternal mortality ratio,,224.0
2008,2. Institutional maternal mortality ratio,,200.0
2009,2. Institutional maternal mortality ratio,,170.0
2010,2. Institutional maternal mortality ratio,,163.0
2011,2. Institutional maternal mortality ratio,,195.0
2012,2. Institutional maternal mortality ratio,,152.0
2013,2. Institutional maternal mortality ratio,,155.0
2014,2. Institutional maternal mortality ratio,,144.0
2015,2. Institutional maternal mortality ratio,,142.0
2016,2. Institutional maternal mortality ratio,,151.0
2017,2. Institutional maternal mortality ratio,,147.0
2018,2. Institutional maternal mortality ratio,,128.6
2019,2. Institutional maternal mortality ratio,,117.6
2020,2. Institutional maternal mortality ratio,,109.2
2021,2. Institutional maternal mortality ratio,,96.8
2008,2. Institutional maternal mortality ratio,Ashanti,253.0
2009,2. Institutional maternal mortality ratio,Ashanti,215.0
2010,2. Institutional maternal mortality ratio,Ashanti,150.0
2011,2. Institutional maternal mortality ratio,Ashanti,232.0
2012,2. Institutional maternal mortality ratio,Ashanti,77.0
2013,2. Institutional maternal mortality ratio,Ashanti,125.0
2014,2. Institutional maternal mortality ratio,Ashanti,115.0
2015,2. Institutional maternal mortality ratio,Ashanti,136.0
2008,2. Institutional maternal mortality ratio,Brong Ahafo,185.0
2009,2. Institutional maternal mortality ratio,Brong Ahafo,194.0
2010,2. Institutional maternal mortality ratio,Brong Ahafo,139.0
2011,2. Institutional maternal mortality ratio,Brong Ahafo,208.0
2012,2. Institutional maternal mortality ratio,Brong Ahafo,167.0
2013,2. Institutional maternal mortality ratio,Brong Ahafo,139.0
2014,2. Institutional maternal mortality ratio,Brong Ahafo,135.0
2015,2. Institutional maternal mortality ratio,Brong Ahafo,131.0
2008,2. Institutional maternal mortality ratio,Central,223.0
2009,2. Institutional maternal mortality ratio,Central,129.0
2010,2. Institutional maternal mortality ratio,Central,149.0
2011,2. Institutional maternal mortality ratio,Central,141.0
2012,2. Institutional maternal mortality ratio,Central,113.0
2013,2. Institutional maternal mortality ratio,Central,122.0
2014,2. Institutional maternal mortality ratio,Central,105.0
2015,2. Institutional maternal mortality ratio,Central,108.0
2008,2. Institutional maternal mortality ratio,Eastern,171.0
2009,2. Institutional maternal mortality ratio,Eastern,136.0
2010,2. Institutional maternal mortality ratio,Eastern,192.0
2011,2. Institutional maternal mortality ratio,Eastern,207.0
2012,2. Institutional maternal mortality ratio,Eastern,179.0
2013,2. Institutional maternal mortality ratio,Eastern,200.0
2014,2. Institutional maternal mortality ratio,Eastern,176.0
2015,2. Institutional maternal mortality ratio,Eastern,176.0
2008,2. Institutional maternal mortality ratio,Greater Accra,194.0
2009,2. Institutional maternal mortality ratio,Greater Accra,197.0
2010,2. Institutional maternal mortality ratio,Greater Accra,182.0
2011,2. Institutional maternal mortality ratio,Greater Accra,256.0
2012,2. Institutional maternal mortality ratio,Greater Accra,201.0
2013,2. Institutional maternal mortality ratio,Greater Accra,197.0
2014,2. Institutional maternal mortality ratio,Greater Accra,185.0
2015,2. Institutional maternal mortality ratio,Greater Accra,177.0
2008,2. Institutional maternal mortality ratio,Northern,176.0
2009,2. Institutional maternal mortality ratio,Northern,147.0
2010,2. Institutional maternal mortality ratio,Northern,137.0
2011,2. Institutional maternal mortality ratio,Northern,165.0
2012,2. Institutional maternal mortality ratio,Northern,212.0
2013,2. Institutional maternal mortality ratio,Northern,174.0
2014,2. Institutional maternal mortality ratio,Northern,108.0
2015,2. Institutional maternal mortality ratio,Northern,144.0
2008,2. Institutional maternal mortality ratio,Upper East,152.0
2009,2. Institutional maternal mortality ratio,Upper East,131.0
2010,2. Institutional maternal mortality ratio,Upper East,138.0
2011,2. Institutional maternal mortality ratio,Upper East,120.0
2012,2. Institutional maternal mortality ratio,Upper East,136.0
2013,2. Institutional maternal mortality ratio,Upper East,108.0
2014,2. Institutional maternal mortality ratio,Upper East,139.0
2015,2. Institutional maternal mortality ratio,Upper East,89.7
2008,2. Institutional maternal mortality ratio,Upper West,121.0
2009,2. Institutional maternal mortality ratio,Upper West,267.0
2010,2. Institutional maternal mortality ratio,Upper West,158.0
2011,2. Institutional maternal mortality ratio,Upper West,202.0
2012,2. Institutional maternal mortality ratio,Upper West,146.0
2013,2. Institutional maternal mortality ratio,Upper West,193.0
2014,2. Institutional maternal mortality ratio,Upper West,161.0
2015,2. Institutional maternal mortality ratio,Upper West,156.0
2008,2. Institutional maternal mortality ratio,Volta,145.0
2009,2. Institutional maternal mortality ratio,Volta,146.0
2010,2. Institutional maternal mortality ratio,Volta,210.0
2011,2. Institutional maternal mortality ratio,Volta,201.0
2012,2. Institutional maternal mortality ratio,Volta,175.0
2013,2. Institutional maternal mortality ratio,Volta,161.0
2014,2. Institutional maternal mortality ratio,Volta,179.0
2015,2. Institutional maternal mortality ratio,Volta,134.0
2008,2. Institutional maternal mortality ratio,Western,270.0
2009,2. Institutional maternal mortality ratio,Western,148.0
2010,2. Institutional maternal mortality ratio,Western,176.0
2011,2. Institutional maternal mortality ratio,Western,114.0
2012,2. Institutional maternal mortality ratio,Western,132.0
2013,2. Institutional maternal mortality ratio,Western,153.0
2014,2. Institutional maternal mortality ratio,Western,150.0
2015,2. Institutional maternal mortality ratio,Western,125.0
