Year,SERIES,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,Enrolment for National Functional Literacy Programme (number of classes),Vocational secondary education,,Number,186.0
2015,Enrolment for National Functional Literacy Programme (number of classes),Vocational secondary education,,Number,185.0
2016,Enrolment for National Functional Literacy Programme (number of classes),Vocational secondary education,,Number,164.0
2017,Enrolment for National Functional Literacy Programme (number of classes),Vocational secondary education,,Number,178.0
2018,Enrolment for National Functional Literacy Programme (number of classes),Vocational secondary education,,Number,177.0
2019,Enrolment for National Functional Literacy Programme (number of classes),Vocational secondary education,,Number,177.0
2014,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,GES,Number,45.0
2015,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,GES,Number,45.0
2016,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,GES,Number,45.0
2017,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,GES,Number,47.0
2018,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,GES,Number,47.0
2019,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,GES,Number,47.0
2014,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,OTHER_PUBLIC,Number,73.0
2015,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,OTHER_PUBLIC,Number,75.0
2016,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,OTHER_PUBLIC,Number,64.0
2017,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,OTHER_PUBLIC,Number,73.0
2018,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,OTHER_PUBLIC,Number,68.0
2019,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,OTHER_PUBLIC,Number,82.0
2014,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,,Number,118.0
2015,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,,Number,120.0
2016,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,,Number,109.0
2017,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,,Number,120.0
2018,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,,Number,115.0
2019,Enrolment for National Functional Literacy Programme (number of students),Vocational secondary education,,Number,129.0
2014,Enrolment for National Functional Literacy Programme (percentage girls),Vocational secondary education,Private,Number,68.0
2015,Enrolment for National Functional Literacy Programme (percentage girls),Vocational secondary education,Private,Number,65.0
2016,Enrolment for National Functional Literacy Programme (percentage girls),Vocational secondary education,Private,Number,55.0
2017,Enrolment for National Functional Literacy Programme (percentage girls),Vocational secondary education,Private,Number,58.0
2018,Enrolment for National Functional Literacy Programme (percentage girls),Vocational secondary education,Private,Number,62.0
2019,Enrolment for National Functional Literacy Programme (percentage girls),Vocational secondary education,Private,Number,48.0
2014,Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Vocational secondary education,,Number,41065.0
2015,Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Vocational secondary education,,Number,42513.0
2016,Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Vocational secondary education,,Number,53171.0
2017,Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Vocational secondary education,,Number,59110.0
2018,Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Vocational secondary education,,Number,63582.0
2019,Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Vocational secondary education,,Number,76770.0
2014,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,GES,Number,27166.0
2015,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,GES,Number,32230.0
2016,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,GES,Number,38459.0
2017,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,GES,Number,45215.0
2018,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,GES,Number,49418.0
2019,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,GES,Number,59583.0
2014,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,OTHER_PUBLIC,Number,8183.0
2015,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,OTHER_PUBLIC,Number,6596.0
2016,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,OTHER_PUBLIC,Number,9897.0
2017,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,OTHER_PUBLIC,Number,9217.0
2018,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,OTHER_PUBLIC,Number,8328.0
2019,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,OTHER_PUBLIC,Number,12701.0
2014,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,,Number,35349.0
2015,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,,Number,38826.0
2016,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,,Number,48356.0
2017,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,,Number,54432.0
2018,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,,Number,57746.0
2019,Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Vocational secondary education,,Number,72284.0
2014,Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Vocational secondary education,Private,Number,5716.0
2015,Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Vocational secondary education,Private,Number,3687.0
2016,Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Vocational secondary education,Private,Number,4815.0
2017,Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Vocational secondary education,Private,Number,4678.0
2018,Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Vocational secondary education,Private,Number,5836.0
2019,Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Vocational secondary education,Private,Number,4486.0
2014,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Public,Number,149.0
2015,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Public,Number,154.0
2016,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Public,Number,155.0
2017,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Public,Number,164.0
2018,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Public,Number,115.0
2019,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Public,Number,129.0
2014,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Private,Number,39.0
2015,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Private,Number,38.0
2016,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Private,Number,29.0
2017,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Private,Number,32.0
2018,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Private,Number,62.0
2019,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,Private,Number,48.0
2014,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,,Number,188.0
