Year,Value,SERIES
2016,63.19,Coverage of protected areas in relation to marine areas-Index
2017,63.74,Coverage of protected areas in relation to marine areas-Index
2018,63.92,Coverage of protected areas in relation to marine areas-Index
2019,63.44,Coverage of protected areas in relation to marine areas-Index
2020,63.32,Coverage of protected areas in relation to marine areas-Index
2021,63.26,Coverage of protected areas in relation to marine areas-Index
2016,50.11,Coverage of protected areas in relation to marine areas-Food provision
2017,49.81,Coverage of protected areas in relation to marine areas-Food provision
2018,49.27,Coverage of protected areas in relation to marine areas-Food provision
2019,48.61,Coverage of protected areas in relation to marine areas-Food provision
2020,47.71,Coverage of protected areas in relation to marine areas-Food provision
2021,47.22,Coverage of protected areas in relation to marine areas-Food provision
2016,50.11,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal)
2017,49.82,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal)
2018,49.28,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal)
2019,48.61,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal)
2020,47.71,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal)
2021,47.22,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal)
2016,0.01,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal)
2017,0.01,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal)
2018,0.01,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal)
2019,0.01,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal)
2020,0.01,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal)
2021,0.01,Coverage of protected areas in relation to marine areas-Mariculture (sub-goal)
2016,72.01,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities
2017,71.12,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities
2018,69.9,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities
2019,69.05,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities
2020,68.33,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities
2021,67.95,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities
2016,55.93,Coverage of protected areas in relation to marine areas-Natural products
2017,62.57,Coverage of protected areas in relation to marine areas-Natural products
2018,66.79,Coverage of protected areas in relation to marine areas-Natural products
2019,68.11,Coverage of protected areas in relation to marine areas-Natural products
2020,68.48,Coverage of protected areas in relation to marine areas-Natural products
2021,69.01,Coverage of protected areas in relation to marine areas-Natural products
2016,99.09,Coverage of protected areas in relation to marine areas-Carbon storage
2017,99.09,Coverage of protected areas in relation to marine areas-Carbon storage
2018,99.09,Coverage of protected areas in relation to marine areas-Carbon storage
2019,99.09,Coverage of protected areas in relation to marine areas-Carbon storage
2020,99.09,Coverage of protected areas in relation to marine areas-Carbon storage
2021,99.09,Coverage of protected areas in relation to marine areas-Carbon storage
2016,98.0,Coverage of protected areas in relation to marine areas-Coastal protection
2017,98.0,Coverage of protected areas in relation to marine areas-Coastal protection
2018,98.0,Coverage of protected areas in relation to marine areas-Coastal protection
2019,98.0,Coverage of protected areas in relation to marine areas-Coastal protection
2020,98.0,Coverage of protected areas in relation to marine areas-Coastal protection
2021,98.0,Coverage of protected areas in relation to marine areas-Coastal protection
2016,93.84,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals)
2017,93.84,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals)
2018,93.84,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals)
2019,93.84,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals)
2020,93.84,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals)
2021,93.84,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals)
2016,89.35,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals)
2017,89.35,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals)
2018,89.35,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals)
2019,89.35,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals)
2020,89.35,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals)
2021,89.35,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals)
2016,98.32,Coverage of protected areas in relation to marine areas-Economies (sub-goals)
2017,98.32,Coverage of protected areas in relation to marine areas-Economies (sub-goals)
2018,98.32,Coverage of protected areas in relation to marine areas-Economies (sub-goals)
2019,98.32,Coverage of protected areas in relation to marine areas-Economies (sub-goals)
