Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2021,A,0,_L_GH_C00101,,PT,,103019
2021,A,0,_L_GH_C00101,1,PT,1,7535
2021,A,0,_L_GH_C00101,2,PT,2,4859
2021,A,0,_L_GH_C00101,3,PT,3,70673
2021,A,0,_L_GH_C00101,4,PT,4,5389
2021,A,0,_L_GH_C00101,5,PT,5,6595
2021,A,0,_L_GH_C00101,6,PT,6,20717
2021,A,0,_L_GH_C00101,7,PT,7,1006
2021,A,0,_L_GH_C00101,8,PT,8,1058
2021,A,0,_L_GH_C00101,9,PT,9,2122
2021,A,0,_L_GH_C00101,10,PT,10,2555
2021,A,0,_L_GH_C00101,11,PT,11,848
2021,A,0,_L_GH_C00101,12,PT,12,1761
2021,A,0,_L_GH_C00101,13,PT,13,262
2021,A,0,_L_GH_C00101,14,PT,14,283
2021,A,0,_L_GH_C00101,15,PT,15,1484
2021,A,0,_L_GH_C00101,16,PT,16,743
