Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Degree of urbanisation,Unit of measure,Value
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,49.5
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Rural,Percent,63.0
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Urban,Percent,36.3
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,7.8
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],,Rural,Percent,11.4
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],,Urban,Percent,4.3
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Greater Accra,,Percent,24.2
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Ashanti,,Percent,32.4
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Brong Ahafo,,Percent,40.0
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Volta,,Percent,50.6
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Eastern,,Percent,52.4
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Western,,Percent,57.6
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Central,,Percent,69.2
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Upper West,,Percent,77.8
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Northern,,Percent,82.1
2017,A,0,Prevalence of moderate or severe food insecurity in the population [2.1.2],Upper East,,Percent,82.2
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Greater Accra,,Percent,1.7
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Ashanti,,Percent,2.4
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Brong Ahafo,,Percent,4.5
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Volta,,Percent,5.9
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Eastern,,Percent,3.8
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Western,,Percent,10.1
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Central,,Percent,11.1
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Upper West,,Percent,21.1
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Northern,,Percent,23.1
2017,A,0,Prevalence of severe food insecurity in the population [2.1.2],Upper East,,Percent,21.3
