Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2007,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,1.6
2008,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,6.3
2009,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,2.2
2010,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,5.2
2011,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,11.3
2012,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,6.7
2013,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,4.8
2014,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,0.6
2015,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,-0.1
2016,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,1.1
2017,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,5.7
2018,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,3.9
2019,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,4.1
2020,A,0,Annual growth rate of real GDP per capita [8.1.1],,Percent,-1.3
