Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Sex,Economic activity,Unit of measure,Value
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,,,Percent,77.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,,,Percent,75.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,,,Percent,80.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,,,Percent,65.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,,,Percent,80.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,,,Percent,79.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,,,Percent,77.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,,,Percent,82.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,,,Percent,78.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,,,Percent,79.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,,,Percent,85.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,,,Percent,88.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,,,Percent,84.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,,,Percent,88.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,,,Percent,87.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,,,Percent,78.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,,,Percent,81.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Male,,Percent,73.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,Male,,Percent,71.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,Male,,Percent,76.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,Male,,Percent,59.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,Male,,Percent,77.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,Male,,Percent,76.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,Male,,Percent,74.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,Male,,Percent,80.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,Male,,Percent,76.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,Male,,Percent,77.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,Male,,Percent,83.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,Male,,Percent,86.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,Male,,Percent,82.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,Male,,Percent,87.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,Male,,Percent,85.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,Male,,Percent,74.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,Male,,Percent,79.2
