Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Sex,Degree of urbanisation,Unit of measure,Value
2013,A,0,Proportion of population living below the national poverty line [1.2.1],,,,Percent,24.2
2013,A,0,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,37.9
2013,A,0,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,10.6
2013,A,0,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,25.9
2013,A,0,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,19.1
2017,A,0,Proportion of population living below the national poverty line [1.2.1],,,,Percent,23.4
2017,A,0,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,39.5
2017,A,0,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,7.8
2017,A,0,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,25.8
2017,A,0,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,17.6
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,70.9
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,70.7
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,89.1
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,54.8
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,44.4
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,72.9
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,61.1
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,50.4
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,55.7
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,26.8
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,27.9
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,34.0
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,11.6
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,14.8
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,24.0
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,12.6
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,21.7
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,17.8
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,37.3
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,33.8
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,37.3
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,2.5
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,5.6
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,13.5
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,13.8
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,18.8
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,23.4
2017,A,0,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,21.1
2013,A,0,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,20.9
2006,A,0,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,22.9
2006,A,0,Proportion of population living below the national poverty line [1.2.1],,,,Percent,28.5
1999,A,0,Proportion of population living below the national poverty line [1.2.1],,,,Percent,39.5
1992,A,0,Proportion of population living below the national poverty line [1.2.1],,,,Percent,51.7
