Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Degree of urbanisation,Composite breakdown,Unit of measure,Value
2003,A,0,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,47.1
2008,A,0,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,58.7
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,73.7
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,79.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Upper West,,,Percent,63.7
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Upper West,,,Percent,83.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Upper East,,,Percent,84.6
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Upper East,,,Percent,94.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Northern,,,Percent,36.4
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Northern,,,Percent,60.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Brong Ahafo,,,Percent,79.0
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Brong Ahafo,,,Percent,86.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Ashanti,,,Percent,86.3
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Ashanti,,,Percent,82.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Eastern,,,Percent,67.2
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Eastern,,,Percent,79.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Volta,,,Percent,66.3
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Volta,,,Percent,69.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Greater Accra,,,Percent,92.1
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Greater Accra,,,Percent,93.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Central,,,Percent,72.0
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Central,,,Percent,73.0
2014,A,0,Proportion of births attended by skilled health personnel [3.1.2],Western,,,Percent,75.3
2017,A,0,Proportion of births attended by skilled health personnel [3.1.2],Western,,,Percent,80.0
2017,A,0,Homes deliveries by region and locality type,,Urban,,Percent,11.0
2017,A,0,Homes deliveries by region and locality type,Northern,Urban,,Percent,18.0
2017,A,0,Homes deliveries by region and locality type,Volta,Urban,,Percent,22.0
2017,A,0,Homes deliveries by region and locality type,Eastern,Urban,,Percent,9.0
2017,A,0,Homes deliveries by region and locality type,Central,Urban,,Percent,16.0
2017,A,0,Homes deliveries by region and locality type,Western,Urban,,Percent,11.0
2017,A,0,Homes deliveries by region and locality type,Brong Ahafo,Urban,,Percent,9.0
2017,A,0,Homes deliveries by region and locality type,Ashanti,Urban,,Percent,6.0
2017,A,0,Homes deliveries by region and locality type,Upper West,Urban,,Percent,6.0
2017,A,0,Homes deliveries by region and locality type,Greater Accra,Urban,,Percent,8.0
2017,A,0,Homes deliveries by region and locality type,Upper East,Urban,,Percent,4.0
2017,A,0,Homes deliveries by region and locality type,,Rural,,Percent,29.0
2017,A,0,Homes deliveries by region and locality type,Northern,Rural,,Percent,49.0
2017,A,0,Homes deliveries by region and locality type,Volta,Rural,,Percent,45.0
2017,A,0,Homes deliveries by region and locality type,Eastern,Rural,,Percent,32.0
2017,A,0,Homes deliveries by region and locality type,Central,Rural,,Percent,31.0
2017,A,0,Homes deliveries by region and locality type,Western,Rural,,Percent,30.0
2017,A,0,Homes deliveries by region and locality type,Brong Ahafo,Rural,,Percent,28.0
2017,A,0,Homes deliveries by region and locality type,Ashanti,Rural,,Percent,27.0
2017,A,0,Homes deliveries by region and locality type,Upper West,Rural,,Percent,22.0
2017,A,0,Homes deliveries by region and locality type,Greater Accra,Rural,,Percent,14.0
2017,A,0,Homes deliveries by region and locality type,Upper East,Rural,,Percent,10.0
2017,A,0,Type of care received during Health facility delivery,,,Skilled Care,Percent,91.0
2017,A,0,Type of care received during Health facility delivery,,,Unskilled Care,Percent,2.0
2017,A,0,Type of care received during Health facility delivery,,,No Care,Percent,7.0
2017,A,0,Type of care received during Home delivery,,,Skilled Care,Percent,54.0
2017,A,0,Type of care received during Home delivery,,,Unskilled Care,Percent,21.0
2017,A,0,Type of care received during Home delivery,,,No Care,Percent,25.0
