Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",0.71
2017,A,0,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",0.69
2018,A,0,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",0.69
2019,A,0,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",0.66
2020,A,0,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",0.57
2016,A,0,Number of new HIV infections [3.3.1],,Number,20323.0
2017,A,0,Number of new HIV infections [3.3.1],,Number,20184.0
2018,A,0,Number of new HIV infections [3.3.1],,Number,20393.0
2019,A,0,Number of new HIV infections [3.3.1],,Number,20068.0
2020,A,0,Number of new HIV infections [3.3.1],,Number,17581.0
