Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,GeoCode,Value
2021,A,0,SL_ISV_IFEM,,,,PT,,77.1
2021,A,0,SL_ISV_IFEM,1,,,PT,1,75.6
2021,A,0,SL_ISV_IFEM,2,,,PT,2,80.2
2021,A,0,SL_ISV_IFEM,3,,,PT,3,65.2
2021,A,0,SL_ISV_IFEM,4,,,PT,4,80.8
2021,A,0,SL_ISV_IFEM,5,,,PT,5,79.6
2021,A,0,SL_ISV_IFEM,6,,,PT,6,77.5
2021,A,0,SL_ISV_IFEM,7,,,PT,7,82.7
2021,A,0,SL_ISV_IFEM,8,,,PT,8,78.6
2021,A,0,SL_ISV_IFEM,9,,,PT,9,79.4
2021,A,0,SL_ISV_IFEM,10,,,PT,10,85.5
2021,A,0,SL_ISV_IFEM,11,,,PT,11,88.3
2021,A,0,SL_ISV_IFEM,12,,,PT,12,84.6
2021,A,0,SL_ISV_IFEM,13,,,PT,13,88.6
2021,A,0,SL_ISV_IFEM,14,,,PT,14,87.9
2021,A,0,SL_ISV_IFEM,15,,,PT,15,78.8
2021,A,0,SL_ISV_IFEM,16,,,PT,16,81.3
2021,A,0,SL_ISV_IFEM,,M,,PT,,73.7
2021,A,0,SL_ISV_IFEM,1,M,,PT,1,71.4
2021,A,0,SL_ISV_IFEM,2,M,,PT,2,76.5
2021,A,0,SL_ISV_IFEM,3,M,,PT,3,59.3
2021,A,0,SL_ISV_IFEM,4,M,,PT,4,77.2
2021,A,0,SL_ISV_IFEM,5,M,,PT,5,76.8
2021,A,0,SL_ISV_IFEM,6,M,,PT,6,74.8
2021,A,0,SL_ISV_IFEM,7,M,,PT,7,80.5
2021,A,0,SL_ISV_IFEM,8,M,,PT,8,76.2
2021,A,0,SL_ISV_IFEM,9,M,,PT,9,77.0
2021,A,0,SL_ISV_IFEM,10,M,,PT,10,83.9
2021,A,0,SL_ISV_IFEM,11,M,,PT,11,86.1
2021,A,0,SL_ISV_IFEM,12,M,,PT,12,82.0
2021,A,0,SL_ISV_IFEM,13,M,,PT,13,87.6
2021,A,0,SL_ISV_IFEM,14,M,,PT,14,85.9
2021,A,0,SL_ISV_IFEM,15,M,,PT,15,74.8
2021,A,0,SL_ISV_IFEM,16,M,,PT,16,79.2
2021,A,0,SL_ISV_IFEM,,F,,PT,,81.1
2021,A,0,SL_ISV_IFEM,1,F,,PT,1,81.0
2021,A,0,SL_ISV_IFEM,2,F,,PT,2,84.1
2021,A,0,SL_ISV_IFEM,3,F,,PT,3,71.8
2021,A,0,SL_ISV_IFEM,4,F,,PT,4,84.6
2021,A,0,SL_ISV_IFEM,5,F,,PT,5,82.8
2021,A,0,SL_ISV_IFEM,6,F,,PT,6,80.6
2021,A,0,SL_ISV_IFEM,7,F,,PT,7,85.6
2021,A,0,SL_ISV_IFEM,8,F,,PT,8,81.7
2021,A,0,SL_ISV_IFEM,9,F,,PT,9,82.2
2021,A,0,SL_ISV_IFEM,10,F,,PT,10,87.6
2021,A,0,SL_ISV_IFEM,11,F,,PT,11,91.1
2021,A,0,SL_ISV_IFEM,12,F,,PT,12,88.0
2021,A,0,SL_ISV_IFEM,13,F,,PT,13,90.4
2021,A,0,SL_ISV_IFEM,14,F,,PT,14,90.7
2021,A,0,SL_ISV_IFEM,15,F,,PT,15,83.0
2021,A,0,SL_ISV_IFEM,16,F,,PT,16,84.0
2021,A,0,SL_ISV_IFEM,,,ISIC4_A,PT,,94.6
2021,A,0,SL_ISV_IFEM,1,,ISIC4_A,PT,1,91.2
2021,A,0,SL_ISV_IFEM,2,,ISIC4_A,PT,2,95.5
2021,A,0,SL_ISV_IFEM,3,,ISIC4_A,PT,3,82.7
2021,A,0,SL_ISV_IFEM,4,,ISIC4_A,PT,4,95.7
2021,A,0,SL_ISV_IFEM,5,,ISIC4_A,PT,5,93.9
2021,A,0,SL_ISV_IFEM,6,,ISIC4_A,PT,6,93.7
2021,A,0,SL_ISV_IFEM,7,,ISIC4_A,PT,7,92.5
2021,A,0,SL_ISV_IFEM,8,,ISIC4_A,PT,8,91.0
2021,A,0,SL_ISV_IFEM,9,,ISIC4_A,PT,9,95.9
2021,A,0,SL_ISV_IFEM,10,,ISIC4_A,PT,10,96.7
2021,A,0,SL_ISV_IFEM,11,,ISIC4_A,PT,11,96.9
2021,A,0,SL_ISV_IFEM,12,,ISIC4_A,PT,12,97.3
2021,A,0,SL_ISV_IFEM,13,,ISIC4_A,PT,13,96.7
2021,A,0,SL_ISV_IFEM,14,,ISIC4_A,PT,14,97.1
2021,A,0,SL_ISV_IFEM,15,,ISIC4_A,PT,15,95.5
2021,A,0,SL_ISV_IFEM,16,,ISIC4_A,PT,16,97.2
2021,A,0,SL_ISV_IFEM,,M,ISIC4_A,PT,,94.0
2021,A,0,SL_ISV_IFEM,1,M,ISIC4_A,PT,1,90.4
2021,A,0,SL_ISV_IFEM,2,M,ISIC4_A,PT,2,94.6
2021,A,0,SL_ISV_IFEM,3,M,ISIC4_A,PT,3,80.9
2021,A,0,SL_ISV_IFEM,4,M,ISIC4_A,PT,4,95.1
2021,A,0,SL_ISV_IFEM,5,M,ISIC4_A,PT,5,93.2
2021,A,0,SL_ISV_IFEM,6,M,ISIC4_A,PT,6,92.8
2021,A,0,SL_ISV_IFEM,7,M,ISIC4_A,PT,7,92.2
2021,A,0,SL_ISV_IFEM,8,M,ISIC4_A,PT,8,90.7
2021,A,0,SL_ISV_IFEM,9,M,ISIC4_A,PT,9,95.4
2021,A,0,SL_ISV_IFEM,10,M,ISIC4_A,PT,10,96.5
2021,A,0,SL_ISV_IFEM,11,M,ISIC4_A,PT,11,96.6
2021,A,0,SL_ISV_IFEM,12,M,ISIC4_A,PT,12,97.2
2021,A,0,SL_ISV_IFEM,13,M,ISIC4_A,PT,13,96.5
2021,A,0,SL_ISV_IFEM,14,M,ISIC4_A,PT,14,96.9
2021,A,0,SL_ISV_IFEM,15,M,ISIC4_A,PT,15,95.1
2021,A,0,SL_ISV_IFEM,16,M,ISIC4_A,PT,16,96.9
2021,A,0,SL_ISV_IFEM,,F,ISIC4_A,PT,,95.5
2021,A,0,SL_ISV_IFEM,1,F,ISIC4_A,PT,1,92.5
2021,A,0,SL_ISV_IFEM,2,F,ISIC4_A,PT,2,96.8
2021,A,0,SL_ISV_IFEM,3,F,ISIC4_A,PT,3,86.4
2021,A,0,SL_ISV_IFEM,4,F,ISIC4_A,PT,4,96.4
2021,A,0,SL_ISV_IFEM,5,F,ISIC4_A,PT,5,95.1
2021,A,0,SL_ISV_IFEM,6,F,ISIC4_A,PT,6,94.9
2021,A,0,SL_ISV_IFEM,7,F,ISIC4_A,PT,7,93.0
2021,A,0,SL_ISV_IFEM,8,F,ISIC4_A,PT,8,91.5
2021,A,0,SL_ISV_IFEM,9,F,ISIC4_A,PT,9,96.7
2021,A,0,SL_ISV_IFEM,10,F,ISIC4_A,PT,10,97.0
2021,A,0,SL_ISV_IFEM,11,F,ISIC4_A,PT,11,97.4
2021,A,0,SL_ISV_IFEM,12,F,ISIC4_A,PT,12,97.6
2021,A,0,SL_ISV_IFEM,13,F,ISIC4_A,PT,13,97.3
2021,A,0,SL_ISV_IFEM,14,F,ISIC4_A,PT,14,97.4
2021,A,0,SL_ISV_IFEM,15,F,ISIC4_A,PT,15,95.9
2021,A,0,SL_ISV_IFEM,16,F,ISIC4_A,PT,16,97.6
2021,A,0,SL_ISV_IFEM,,,ISIC4_BTU,PT,,68.4
2021,A,0,SL_ISV_IFEM,1,,ISIC4_BTU,PT,1,67.1
2021,A,0,SL_ISV_IFEM,2,,ISIC4_BTU,PT,2,73.5
2021,A,0,SL_ISV_IFEM,3,,ISIC4_BTU,PT,3,64.4
2021,A,0,SL_ISV_IFEM,4,,ISIC4_BTU,PT,4,73.4
2021,A,0,SL_ISV_IFEM,5,,ISIC4_BTU,PT,5,71.6
2021,A,0,SL_ISV_IFEM,6,,ISIC4_BTU,PT,6,71.6
2021,A,0,SL_ISV_IFEM,7,,ISIC4_BTU,PT,7,63.0
2021,A,0,SL_ISV_IFEM,8,,ISIC4_BTU,PT,8,62.6
2021,A,0,SL_ISV_IFEM,9,,ISIC4_BTU,PT,9,64.5
2021,A,0,SL_ISV_IFEM,10,,ISIC4_BTU,PT,10,72.3
2021,A,0,SL_ISV_IFEM,11,,ISIC4_BTU,PT,11,71.2
2021,A,0,SL_ISV_IFEM,12,,ISIC4_BTU,PT,12,66.9
2021,A,0,SL_ISV_IFEM,13,,ISIC4_BTU,PT,13,69.7
2021,A,0,SL_ISV_IFEM,14,,ISIC4_BTU,PT,14,62.8
2021,A,0,SL_ISV_IFEM,15,,ISIC4_BTU,PT,15,64.6
2021,A,0,SL_ISV_IFEM,16,,ISIC4_BTU,PT,16,59.1
2021,A,0,SL_ISV_IFEM,,M,ISIC4_BTU,PT,,61.9
2021,A,0,SL_ISV_IFEM,1,M,ISIC4_BTU,PT,1,59.3
2021,A,0,SL_ISV_IFEM,2,M,ISIC4_BTU,PT,2,67.2
2021,A,0,SL_ISV_IFEM,3,M,ISIC4_BTU,PT,3,58.2
2021,A,0,SL_ISV_IFEM,4,M,ISIC4_BTU,PT,4,67.0
2021,A,0,SL_ISV_IFEM,5,M,ISIC4_BTU,PT,5,64.4
2021,A,0,SL_ISV_IFEM,6,M,ISIC4_BTU,PT,6,67.5
2021,A,0,SL_ISV_IFEM,7,M,ISIC4_BTU,PT,7,53.3
2021,A,0,SL_ISV_IFEM,8,M,ISIC4_BTU,PT,8,54.6
2021,A,0,SL_ISV_IFEM,9,M,ISIC4_BTU,PT,9,58.3
2021,A,0,SL_ISV_IFEM,10,M,ISIC4_BTU,PT,10,65.3
2021,A,0,SL_ISV_IFEM,11,M,ISIC4_BTU,PT,11,59.7
2021,A,0,SL_ISV_IFEM,12,M,ISIC4_BTU,PT,12,57.8
2021,A,0,SL_ISV_IFEM,13,M,ISIC4_BTU,PT,13,63.1
2021,A,0,SL_ISV_IFEM,14,M,ISIC4_BTU,PT,14,49.3
2021,A,0,SL_ISV_IFEM,15,M,ISIC4_BTU,PT,15,55.5
2021,A,0,SL_ISV_IFEM,16,M,ISIC4_BTU,PT,16,52.3
2021,A,0,SL_ISV_IFEM,,F,ISIC4_BTU,PT,,75.2
2021,A,0,SL_ISV_IFEM,1,F,ISIC4_BTU,PT,1,75.9
2021,A,0,SL_ISV_IFEM,2,F,ISIC4_BTU,PT,2,79.5
2021,A,0,SL_ISV_IFEM,3,F,ISIC4_BTU,PT,3,71.4
2021,A,0,SL_ISV_IFEM,4,F,ISIC4_BTU,PT,4,79.6
2021,A,0,SL_ISV_IFEM,5,F,ISIC4_BTU,PT,5,78.1
2021,A,0,SL_ISV_IFEM,6,F,ISIC4_BTU,PT,6,76.1
2021,A,0,SL_ISV_IFEM,7,F,ISIC4_BTU,PT,7,73.5
2021,A,0,SL_ISV_IFEM,8,F,ISIC4_BTU,PT,8,71.2
2021,A,0,SL_ISV_IFEM,9,F,ISIC4_BTU,PT,9,70.8
2021,A,0,SL_ISV_IFEM,10,F,ISIC4_BTU,PT,10,79.1
2021,A,0,SL_ISV_IFEM,11,F,ISIC4_BTU,PT,11,81.4
2021,A,0,SL_ISV_IFEM,12,F,ISIC4_BTU,PT,12,76.8
2021,A,0,SL_ISV_IFEM,13,F,ISIC4_BTU,PT,13,78.5
2021,A,0,SL_ISV_IFEM,14,F,ISIC4_BTU,PT,14,76.8
2021,A,0,SL_ISV_IFEM,15,F,ISIC4_BTU,PT,15,73.4
2021,A,0,SL_ISV_IFEM,16,F,ISIC4_BTU,PT,16,66.9
