Value,en,Disaggregation combinations using this value,Number of indicators
_L_GH_BASIC_SERVICE,Basic Service,3,1
_L_GH_BOTTLED_WATER,Bottled Water,1,1
_L_GH_BUCKET,Bucket/Pan,2,1
_L_GH_KVIP,Kumasi Ventilated Improved Pit (KVIP),2,1
_L_GH_LIMITED_SERVICE,Limited Service,3,1
_L_GH_NO_FACILITY,No facility (bush/beach/field),2,1
_L_GH_PIPE_BORNE,Pipe-borne,1,1
_L_GH_PIT_LATRINE,Pit Latrine,2,1
_L_GH_PUBLIC_TOILET,Public Toilet,2,1
_L_GH_SACHET_WATER,Satchet Water,1,1
_L_GH_SAFELY_MANAGED,Safely Managed,3,1
_L_GH_SURFACE_WATER,Surface Water,3,1
_L_GH_TANKER,Tanker/Vendor,1,1
_L_GH_UNIMPROVED,Unimproved,3,1
_L_GH_WC,Water Closet (WC),2,1
_L_GH_WELL,Well,1,1
_NATURAL_SOURCE,Natural Source,1,1
