Value,en,Disaggregation combinations using this value,Number of indicators
01_o,Western,13,7
02_o,Central,12,6
03_o,Greater Accra,14,8
04_o,Volta,13,7
05_o,Eastern,13,7
06_o,Ashanti,13,7
07_o,Brong Ahafo,13,7
08_o,Northern,13,7
09_o,Upper East,13,7
1,Western,1,1
10,Bono East,1,1
10_o,Upper West,13,7
11,Oti,1,1
12,Northern,1,1
13,Savannah,1,1
14,North East,1,1
15,Upper East,1,1
16,Upper West,1,1
2,Central,1,1
3,Greater Accra,1,1
4,Volta,1,1
5,Eastern,1,1
6,Ashanti,1,1
7,Western North,1,1
8,Ahafo,1,1
9,Bono,1,1
_L_GH_Coastal,Coastal Zone,2,1
_L_GH_Forest,Forest Zone,2,1
_L_GH_Savannah,Savannah Zone,2,1
