Value,en,Disaggregation combinations using this value,Number of indicators
Ahafo,Ahafo,32,5
Ashanti,Ashanti,49,14
Bono East,Bono East,32,5
Bono,Bono,32,5
Brong Ahafo,Brong Ahafo,17,9
Central,Central,48,13
Coastal Zone,Coastal Zone,1,1
Eastern,Eastern,49,14
Forest Zone,Forest Zone,1,1
Greater Accra,Greater Accra,49,14
North East,North East,32,5
Northern,Northern,49,14
Oti,Oti,32,5
Savannah Zone,Savannah Zone,1,1
Savannah,Savannah,32,5
Upper East,Upper East,49,14
Upper West,Upper West,49,14
Volta,Volta,49,14
Western North,Western North,32,5
Western,Western,49,14
