Value,en,Disaggregation combinations using this value,Number of indicators
"Adolescent birth rate (per 1,000 women aged 15-19 years) [3.7.2]","Adolescent birth rate (per 1,000 women aged 15-19 years) [3.7.2]",1,1
Agriculture orientation index for government expenditures [2.a.1],Agriculture orientation index for government expenditures [2.a.1],1,1
Agriculture share of Government Expenditure [2.a.1],Agriculture share of Government Expenditure [2.a.1],1,1
Agriculture value added share of GDP [2.a.1],Agriculture value added share of GDP [2.a.1],1,1
Annual growth rate of real GDP per capita [8.1.1],Annual growth rate of real GDP per capita [8.1.1],1,1
"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]","Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",1,1
Average hourly earnings [8.5.1],Average hourly earnings [8.5.1],3,1
Beach litter per square kilometer (Number) [14.1.1],Beach litter per square kilometer (Number) [14.1.1],1,1
Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),6,1
Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),6,1
Budget Allocation towards Extreme poverty (in million Ghana Cedi),Budget Allocation towards Extreme poverty (in million Ghana Cedi),6,1
Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),6,1
Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),6,1
"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)","Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",6,1
Budget Allocation towards Social dimension (in million Ghana Cedi),Budget Allocation towards Social dimension (in million Ghana Cedi),6,1
Children who demonstrated foundational literacy and numeracy by locality type (Percent),Children who demonstrated foundational literacy and numeracy by locality type (Percent),18,1
Comparison of Pupil-trained teacher ratio by year at the basic level,Comparison of Pupil-trained teacher ratio by year at the basic level,10,1
Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],1,1
Corruption Perception Index Rank,Corruption Perception Index Rank,1,1
Corruption Perception Index score,Corruption Perception Index score,1,1
Coverage of Drinking Water Services by Levels,Coverage of Drinking Water Services by Levels,15,1
Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,1,1
Coverage of protected areas in relation to marine areas-Biodiversity,Coverage of protected areas in relation to marine areas-Biodiversity,1,1
Coverage of protected areas in relation to marine areas-Carbon storage,Coverage of protected areas in relation to marine areas-Carbon storage,1,1
Coverage of protected areas in relation to marine areas-Clean water,Coverage of protected areas in relation to marine areas-Clean water,1,1
Coverage of protected areas in relation to marine areas-Coastal protection,Coverage of protected areas in relation to marine areas-Coastal protection,1,1
Coverage of protected areas in relation to marine areas-Economies (sub-goals),Coverage of protected areas in relation to marine areas-Economies (sub-goals),1,1
Coverage of protected areas in relation to marine areas-Food provision,Coverage of protected areas in relation to marine areas-Food provision,1,1
