Value,en,Disaggregation combinations using this value,Number of indicators
Ghana Cedi,Ghana Cedi,51,2
Index,Index,65,5
Local currency,Local currency,1,1
m3/per person/year,m3/per person/year,1,1
Metric Tons,Metric Tons,5,1
Micrograms per cubic meter,Micrograms per cubic meter,1,1
Minute,Minute,5,1
Number,Number,28,6
"Per 1,000 live births","Per 1,000 live births",1,1
"Per 1,000 population","Per 1,000 population",2,2
"Per 1,000 uninfected population","Per 1,000 uninfected population",1,1
"Per 100,000 live births","Per 100,000 live births",13,2
"Per 100,000 population","Per 100,000 population",7,6
Percent,Percent,581,60
Rank,Rank,1,1
Ratio,Ratio,12,1
